# timestep	eccentricity	obliquity	LSP 
-276	1.02E-01	4.64E-01	4.58E+00
-277	1.02E-01	4.64E-01	4.47E+00
-278	1.01E-01	4.64E-01	4.35E+00
-279	1.01E-01	4.64E-01	4.24E+00
-280	1.00E-01	4.64E-01	4.12E+00
-281	9.98E-02	4.64E-01	4.00E+00
-282	9.92E-02	4.64E-01	3.88E+00
-283	9.86E-02	4.63E-01	3.76E+00
-284	9.78E-02	4.63E-01	3.64E+00
-285	9.71E-02	4.62E-01	3.52E+00
-286	9.63E-02	4.62E-01	3.40E+00
-287	9.54E-02	4.61E-01	3.28E+00
-288	9.44E-02	4.60E-01	3.15E+00
-289	9.34E-02	4.59E-01	3.03E+00
-290	9.24E-02	4.58E-01	2.90E+00
-291	9.13E-02	4.57E-01	2.78E+00
-292	9.01E-02	4.56E-01	2.65E+00
-293	8.90E-02	4.54E-01	2.52E+00
-294	8.78E-02	4.52E-01	2.39E+00
-295	8.67E-02	4.51E-01	2.26E+00
-296	8.57E-02	4.49E-01	2.12E+00
-297	8.44E-02	4.47E-01	1.99E+00
-298	8.32E-02	4.45E-01	1.86E+00
-299	8.20E-02	4.42E-01	1.72E+00
-300	8.09E-02	4.40E-01	1.58E+00
-301	7.96E-02	4.37E-01	1.44E+00
-302	7.85E-02	4.35E-01	1.30E+00
-303	7.75E-02	4.32E-01	1.16E+00
-304	7.64E-02	4.29E-01	1.02E+00
-305	7.56E-02	4.26E-01	8.76E-01
-306	7.47E-02	4.22E-01	7.31E-01
-307	7.40E-02	4.19E-01	5.85E-01
-308	7.34E-02	4.16E-01	4.41E-01
-309	7.28E-02	4.12E-01	2.96E-01
-310	7.24E-02	4.09E-01	1.51E-01
-311	7.20E-02	4.05E-01	3.16E-03
-312	7.16E-02	4.01E-01	6.14E+00
-313	7.13E-02	3.98E-01	6.00E+00
-314	7.13E-02	3.94E-01	5.85E+00
-315	7.11E-02	3.90E-01	5.70E+00
-316	7.12E-02	3.87E-01	5.56E+00
-317	7.15E-02	3.83E-01	5.41E+00
-318	7.18E-02	3.80E-01	5.27E+00
-319	7.23E-02	3.76E-01	5.13E+00
-320	7.29E-02	3.73E-01	4.99E+00
-321	7.36E-02	3.70E-01	4.85E+00
-322	7.43E-02	3.67E-01	4.72E+00
-323	7.51E-02	3.65E-01	4.59E+00
-324	7.60E-02	3.62E-01	4.46E+00
-325	7.69E-02	3.60E-01	4.33E+00
-326	7.77E-02	3.58E-01	4.20E+00
-327	7.86E-02	3.56E-01	4.07E+00
-328	7.96E-02	3.54E-01	3.95E+00
-329	8.05E-02	3.53E-01	3.83E+00
-330	8.14E-02	3.52E-01	3.71E+00
-331	8.26E-02	3.51E-01	3.59E+00
-332	8.34E-02	3.51E-01	3.47E+00
-333	8.44E-02	3.51E-01	3.35E+00
-334	8.54E-02	3.52E-01	3.24E+00
-335	8.64E-02	3.52E-01	3.12E+00
-336	8.72E-02	3.54E-01	3.01E+00
-337	8.80E-02	3.55E-01	2.90E+00
-338	8.90E-02	3.57E-01	2.79E+00
-339	8.98E-02	3.59E-01	2.67E+00
-340	9.06E-02	3.62E-01	2.56E+00
-341	9.14E-02	3.65E-01	2.46E+00
-342	9.22E-02	3.68E-01	2.35E+00
-343	9.27E-02	3.72E-01	2.24E+00
-344	9.33E-02	3.76E-01	2.13E+00
-345	9.39E-02	3.80E-01	2.02E+00
-346	9.42E-02	3.84E-01	1.91E+00
-347	9.45E-02	3.89E-01	1.81E+00
-348	9.48E-02	3.93E-01	1.70E+00
-349	9.50E-02	3.98E-01	1.59E+00
-350	9.51E-02	4.03E-01	1.48E+00
-351	9.52E-02	4.08E-01	1.37E+00
-352	9.54E-02	4.13E-01	1.26E+00
-353	9.55E-02	4.19E-01	1.15E+00
-354	9.55E-02	4.24E-01	1.04E+00
-355	9.57E-02	4.29E-01	9.27E-01
-356	9.57E-02	4.35E-01	8.15E-01
-357	9.56E-02	4.40E-01	7.05E-01
-358	9.55E-02	4.46E-01	5.95E-01
-359	9.54E-02	4.51E-01	4.84E-01
-360	9.50E-02	4.56E-01	3.74E-01
-361	9.46E-02	4.62E-01	2.63E-01
-362	9.43E-02	4.67E-01	1.52E-01
-363	9.36E-02	4.72E-01	3.87E-02
-364	9.31E-02	4.77E-01	6.21E+00
-365	9.26E-02	4.82E-01	6.10E+00
-366	9.20E-02	4.86E-01	5.98E+00
-367	9.13E-02	4.91E-01	5.87E+00
-368	9.06E-02	4.95E-01	5.75E+00
-369	9.01E-02	4.99E-01	5.64E+00
-370	8.94E-02	5.03E-01	5.52E+00
-371	8.86E-02	5.07E-01	5.41E+00
-372	8.79E-02	5.10E-01	5.29E+00
-373	8.72E-02	5.13E-01	5.18E+00
-374	8.63E-02	5.16E-01	5.06E+00
-375	8.55E-02	5.19E-01	4.94E+00
-376	8.48E-02	5.21E-01	4.83E+00
-377	8.39E-02	5.23E-01	4.71E+00
-378	8.30E-02	5.25E-01	4.59E+00
-379	8.23E-02	5.27E-01	4.47E+00
-380	8.14E-02	5.29E-01	4.35E+00
-381	8.04E-02	5.30E-01	4.23E+00
-382	7.95E-02	5.31E-01	4.11E+00
-383	7.86E-02	5.32E-01	3.99E+00
-384	7.75E-02	5.33E-01	3.87E+00
-385	7.65E-02	5.33E-01	3.75E+00
-386	7.56E-02	5.33E-01	3.62E+00
-387	7.45E-02	5.33E-01	3.49E+00
-388	7.36E-02	5.33E-01	3.37E+00
-389	7.27E-02	5.32E-01	3.24E+00
-390	7.20E-02	5.32E-01	3.11E+00
-391	7.11E-02	5.31E-01	2.98E+00
-392	7.04E-02	5.30E-01	2.85E+00
-393	6.98E-02	5.28E-01	2.71E+00
-394	6.91E-02	5.27E-01	2.58E+00
-395	6.84E-02	5.25E-01	2.45E+00
-396	6.78E-02	5.23E-01	2.31E+00
-397	6.73E-02	5.21E-01	2.17E+00
-398	6.67E-02	5.18E-01	2.04E+00
-399	6.61E-02	5.16E-01	1.90E+00
-400	6.58E-02	5.14E-01	1.76E+00
-401	6.53E-02	5.11E-01	1.61E+00
-402	6.51E-02	5.08E-01	1.47E+00
-403	6.49E-02	5.05E-01	1.32E+00
-404	6.48E-02	5.02E-01	1.18E+00
-405	6.48E-02	4.99E-01	1.03E+00
-406	6.50E-02	4.96E-01	8.88E-01
-407	6.53E-02	4.93E-01	7.41E-01
-408	6.55E-02	4.90E-01	5.94E-01
-409	6.59E-02	4.86E-01	4.50E-01
-410	6.65E-02	4.83E-01	3.05E-01
-411	6.71E-02	4.79E-01	1.59E-01
-412	6.78E-02	4.75E-01	1.47E-02
-413	6.86E-02	4.71E-01	6.15E+00
-414	6.95E-02	4.67E-01	6.01E+00
-415	7.04E-02	4.64E-01	5.87E+00
-416	7.15E-02	4.60E-01	5.73E+00
-417	7.27E-02	4.56E-01	5.59E+00
-418	7.38E-02	4.52E-01	5.45E+00
-419	7.49E-02	4.48E-01	5.32E+00
-420	7.60E-02	4.44E-01	5.18E+00
-421	7.75E-02	4.40E-01	5.05E+00
-422	7.86E-02	4.36E-01	4.91E+00
-423	7.99E-02	4.32E-01	4.78E+00
-424	8.13E-02	4.28E-01	4.65E+00
-425	8.26E-02	4.23E-01	4.52E+00
-426	8.41E-02	4.19E-01	4.39E+00
-427	8.55E-02	4.15E-01	4.26E+00
-428	8.71E-02	4.11E-01	4.13E+00
-429	8.84E-02	4.07E-01	4.01E+00
-430	8.99E-02	4.03E-01	3.89E+00
-431	9.13E-02	3.99E-01	3.77E+00
-432	9.26E-02	3.95E-01	3.65E+00
-433	9.37E-02	3.91E-01	3.53E+00
-434	9.49E-02	3.87E-01	3.41E+00
-435	9.61E-02	3.83E-01	3.29E+00
-436	9.70E-02	3.79E-01	3.18E+00
-437	9.80E-02	3.76E-01	3.06E+00
-438	9.90E-02	3.72E-01	2.95E+00
-439	9.98E-02	3.68E-01	2.83E+00
-440	1.01E-01	3.65E-01	2.72E+00
-441	1.01E-01	3.62E-01	2.61E+00
-442	1.02E-01	3.59E-01	2.50E+00
-443	1.03E-01	3.56E-01	2.39E+00
-444	1.03E-01	3.53E-01	2.28E+00
-445	1.04E-01	3.51E-01	2.17E+00
-446	1.04E-01	3.49E-01	2.06E+00
-447	1.04E-01	3.47E-01	1.96E+00
-448	1.04E-01	3.45E-01	1.85E+00
-449	1.05E-01	3.43E-01	1.75E+00
-450	1.05E-01	3.42E-01	1.65E+00
-451	1.04E-01	3.41E-01	1.55E+00
-452	1.05E-01	3.40E-01	1.44E+00
-453	1.04E-01	3.40E-01	1.34E+00
-454	1.04E-01	3.40E-01	1.24E+00
-455	1.03E-01	3.40E-01	1.14E+00
-456	1.03E-01	3.40E-01	1.04E+00
-457	1.02E-01	3.41E-01	9.43E-01
-458	1.01E-01	3.43E-01	8.42E-01
-459	1.00E-01	3.44E-01	7.40E-01
-460	9.91E-02	3.46E-01	6.37E-01
-461	9.83E-02	3.49E-01	5.34E-01
-462	9.73E-02	3.52E-01	4.31E-01
-463	9.63E-02	3.55E-01	3.25E-01
-464	9.52E-02	3.58E-01	2.21E-01
-465	9.42E-02	3.62E-01	1.17E-01
-466	9.32E-02	3.67E-01	1.23E-02
-467	9.20E-02	3.72E-01	6.19E+00
-468	9.07E-02	3.77E-01	6.08E+00
-469	8.95E-02	3.82E-01	5.98E+00
-470	8.80E-02	3.87E-01	5.87E+00
-471	8.65E-02	3.93E-01	5.76E+00
-472	8.50E-02	3.99E-01	5.65E+00
-473	8.34E-02	4.05E-01	5.54E+00
-474	8.17E-02	4.12E-01	5.43E+00
-475	8.01E-02	4.18E-01	5.31E+00
-476	7.86E-02	4.25E-01	5.20E+00
-477	7.69E-02	4.32E-01	5.08E+00
-478	7.53E-02	4.38E-01	4.96E+00
-479	7.38E-02	4.45E-01	4.84E+00
-480	7.23E-02	4.52E-01	4.71E+00
-481	7.08E-02	4.59E-01	4.59E+00
-482	6.93E-02	4.66E-01	4.46E+00
-483	6.80E-02	4.73E-01	4.33E+00
-484	6.65E-02	4.80E-01	4.20E+00
-485	6.53E-02	4.87E-01	4.07E+00
-486	6.41E-02	4.94E-01	3.94E+00
-487	6.29E-02	5.01E-01	3.81E+00
-488	6.16E-02	5.07E-01	3.68E+00
-489	6.05E-02	5.14E-01	3.54E+00
-490	5.95E-02	5.20E-01	3.41E+00
-491	5.83E-02	5.26E-01	3.27E+00
-492	5.73E-02	5.32E-01	3.13E+00
-493	5.63E-02	5.38E-01	2.99E+00
-494	5.55E-02	5.44E-01	2.85E+00
-495	5.46E-02	5.49E-01	2.70E+00
-496	5.40E-02	5.54E-01	2.55E+00
-497	5.36E-02	5.59E-01	2.40E+00
-498	5.34E-02	5.63E-01	2.25E+00
-499	5.33E-02	5.67E-01	2.11E+00
-500	5.35E-02	5.71E-01	1.96E+00
-501	5.37E-02	5.74E-01	1.81E+00
-502	5.39E-02	5.77E-01	1.66E+00
-503	5.44E-02	5.80E-01	1.52E+00
-504	5.49E-02	5.83E-01	1.37E+00
-505	5.53E-02	5.85E-01	1.23E+00
-506	5.59E-02	5.87E-01	1.09E+00
-507	5.65E-02	5.88E-01	9.49E-01
-508	5.72E-02	5.89E-01	8.06E-01
-509	5.79E-02	5.90E-01	6.64E-01
-510	5.87E-02	5.90E-01	5.23E-01
-511	5.98E-02	5.90E-01	3.81E-01
-512	6.08E-02	5.90E-01	2.41E-01
-513	6.20E-02	5.89E-01	1.02E-01
-514	6.34E-02	5.88E-01	6.25E+00
-515	6.48E-02	5.86E-01	6.11E+00
-516	6.62E-02	5.84E-01	5.98E+00
-517	6.78E-02	5.82E-01	5.85E+00
-518	6.95E-02	5.79E-01	5.71E+00
-519	7.09E-02	5.76E-01	5.59E+00
-520	7.26E-02	5.72E-01	5.46E+00
-521	7.42E-02	5.69E-01	5.33E+00
-522	7.58E-02	5.65E-01	5.20E+00
-523	7.74E-02	5.60E-01	5.08E+00
-524	7.89E-02	5.55E-01	4.96E+00
-525	8.04E-02	5.50E-01	4.83E+00
-526	8.19E-02	5.45E-01	4.71E+00
-527	8.33E-02	5.40E-01	4.59E+00
-528	8.48E-02	5.34E-01	4.47E+00
-529	8.61E-02	5.28E-01	4.34E+00
-530	8.74E-02	5.22E-01	4.22E+00
-531	8.89E-02	5.16E-01	4.10E+00
-532	9.03E-02	5.09E-01	3.98E+00
-533	9.17E-02	5.03E-01	3.86E+00
-534	9.31E-02	4.96E-01	3.74E+00
-535	9.46E-02	4.89E-01	3.62E+00
-536	9.60E-02	4.82E-01	3.51E+00
-537	9.74E-02	4.74E-01	3.39E+00
-538	9.87E-02	4.67E-01	3.28E+00
-539	9.99E-02	4.60E-01	3.17E+00
-540	1.01E-01	4.52E-01	3.05E+00
-541	1.02E-01	4.44E-01	2.94E+00
-542	1.03E-01	4.37E-01	2.83E+00
-543	1.03E-01	4.29E-01	2.72E+00
-544	1.04E-01	4.22E-01	2.61E+00
-545	1.04E-01	4.15E-01	2.50E+00
-546	1.05E-01	4.07E-01	2.39E+00
-547	1.05E-01	4.00E-01	2.28E+00
-548	1.05E-01	3.94E-01	2.17E+00
-549	1.06E-01	3.87E-01	2.06E+00
-550	1.06E-01	3.81E-01	1.96E+00
-551	1.06E-01	3.74E-01	1.85E+00
-552	1.06E-01	3.68E-01	1.74E+00
-553	1.06E-01	3.63E-01	1.64E+00
-554	1.06E-01	3.57E-01	1.54E+00
-555	1.06E-01	3.52E-01	1.44E+00
-556	1.06E-01	3.47E-01	1.33E+00
-557	1.05E-01	3.43E-01	1.23E+00
-558	1.05E-01	3.38E-01	1.14E+00
